20169919109	60	71
20169919129	36	50
20179919219	57	66
20179919221	24	49
20189918120	91	95
20189919102	91	96
20189919106	75	74
20189919107	74	81
20189919113	75	80
20189919114	77	64
20189919118	75	80
20189919119	90	92
20189919121	82	73
20189919124	87	62
20189919125	90	90
20189919127	61	59
20189919129	60	61
20189919130	60	72
20189919133	60	49
20139921118	93	85
20169909206	91	89
20169914210	90	92
20169937135	78	81
20169937144	73	80
20189912130	46	25
20189912131	39	0
20189919202	79	90
20189919220	78	77
20189919221	66	60
20189919222	90	90
20189919224	91	96
20189919226	91	97
20189919228	78	84
20189919229	86	80
20189919230	86	75
20189919231	85	80
20189919234	93	84
20189919235	97	97
