20169919109	71	60
20169919129	50	36
20179919219	66	57
20179919221	49	24
20189918120	95	91
20189919102	96	91
20189919106	74	75
20189919107	81	74
20189919113	80	75
20189919114	64	77
20189919118	80	75
20189919119	92	90
20189919121	73	82
20189919124	62	87
20189919125	90	90
20189919127	59	61
20189919129	61	60
20189919130	72	60
20189919133	49	60
20139921118	85	93
20169909206	89	91
20169914210	92	90
20169937135	81	78
20169937144	80	73
20189912130	25	46
20189912131	0	39
20189919202	90	79
20189919220	77	78
20189919221	60	66
20189919222	90	90
20189919224	96	91
20189919226	97	91
20189919228	84	78
20189919229	80	86
20189919230	75	86
20189919231	80	85
20189919234	84	93
20189919235	97	97
